GeoName,Year,variable,value,pop_i,pop_j,euc_dist,per_cap_per_inc,Tot_emp,per_cap_per_inc_j,Tot_emp_j,Dest_fact,Orig_fact
Alabama,2,Maine,67,4816632,1328094,21.6371863825477,35877,2503678,40276,796903,1,18
Alabama,2,Maryland,1513,4816632,5888375,11.837388505843,35877,2503678,53534,3438880,1,19
Alabama,2,Massachusetts,334,4816632,6664269,17.746086068917,35877,2503678,57322,4253327,1,20
Alabama,2,Michigan,2298,4816632,9898289,10.917835980458,35877,2503678,39054,5234473,1,21
Alabama,2,Minnesota,752,4816632,5377500,15.4570772246487,35877,2503678,47851,3505578,1,22
Alabama,2,Mississippi,4952,4816632,2984599,2.83759875603229,35877,2503678,33300,1519719,1,23
Alabama,2,Missouri,1555,4816632,6026027,7.93854309848409,35877,2503678,40120,3528129,1,24
Alabama,2,Montana,101,4816632,1004168,26.8976490252795,35877,2503678,40303,633135,1,25
Alabama,2,Nebraska,151,4816632,1853691,15.648712917564,35877,2503678,46552,1251258,1,26
Alabama,2,Nevada,1009,4816632,2744670,30.5412530271869,35877,2503678,39650,1519198,1,27
Alabama,2,New Hampshire,161,4816632,1324677,18.7425779288207,35877,2503678,50978,824361,1,28
Alabama,2,New Jersey,1702,4816632,8845671,14.237834845523,35877,2503678,55582,5053839,1,29
Alabama,2,New Mexico,459,4816632,2087715,19.3491553431003,35877,2503678,35723,1067211,1,30
Alabama,2,New York,2709,4816632,19574362,15.208170555399,35877,2503678,53982,11432840,1,31
Alabama,2,North Carolina,5133,4816632,9751810,7.94015585266918,35877,2503678,38959,5356443,1,32
Alabama,2,North Dakota,228,4816632,702227,20.0220007332487,35877,2503678,55338,567388,1,33
Alabama,2,Ohio,1411,4816632,11550971,8.51861258777688,35877,2503678,40625,6605931,1,34
Alabama,2,Oklahoma,194,4816632,3819320,11.0393904009315,35877,2503678,41461,2211773,1,35
Alabama,2,Oregon,200,4816632,3900102,35.5213487719158,35877,2503678,39591,2219899,1,36
Alabama,2,Pennsylvania,1837,4816632,12769123,12.1184321152575,35877,2503678,46011,7284519,1,37
Alabama,2,Rhode Island,0,4816632,1054893,17.6499276485593,35877,2503678,46270,592978,1,38
Alabama,2,South Carolina,2811,4816632,4719027,6.03630154561345,35877,2503678,35558,2453282,1,39
Alabama,2,South Dakota,518,4816632,833859,17.7552591495404,35877,2503678,45163,574966,1,40
