Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2012,Minnesota,752,4816632,5377500,15.4570772246487,35877,2503678,47851,3505578
Alabama,2012,Mississippi,4952,4816632,2984599,2.83759875603229,35877,2503678,33300,1519719
Alabama,2012,Missouri,1555,4816632,6026027,7.93854309848409,35877,2503678,40120,3528129
Alabama,2012,Montana,101,4816632,1004168,26.8976490252795,35877,2503678,40303,633135
Alabama,2012,Nebraska,151,4816632,1853691,15.648712917564,35877,2503678,46552,1251258
Alabama,2012,Nevada,1009,4816632,2744670,30.5412530271869,35877,2503678,39650,1519198
Alabama,2012,New Hampshire,161,4816632,1324677,18.7425779288207,35877,2503678,50978,824361
Alabama,2012,New Jersey,1702,4816632,8845671,14.237834845523,35877,2503678,55582,5053839
Alabama,2012,New Mexico,459,4816632,2087715,19.3491553431003,35877,2503678,35723,1067211
Alabama,2012,New York,2709,4816632,19574362,15.208170555399,35877,2503678,53982,11432840
Alabama,2012,North Carolina,5133,4816632,9751810,7.94015585266918,35877,2503678,38959,5356443
Alabama,2012,North Dakota,228,4816632,702227,20.0220007332487,35877,2503678,55338,567388
Alabama,2012,Ohio,1411,4816632,11550971,8.51861258777688,35877,2503678,40625,6605931
Alabama,2012,Oklahoma,194,4816632,3819320,11.0393904009315,35877,2503678,41461,2211773
Alabama,2012,Oregon,200,4816632,3900102,35.5213487719158,35877,2503678,39591,2219899
Alabama,2012,Pennsylvania,1837,4816632,12769123,12.1184321152575,35877,2503678,46011,7284519
Alabama,2012,Rhode Island,0,4816632,1054893,17.6499276485593,35877,2503678,46270,592978
Alabama,2012,South Carolina,2811,4816632,4719027,6.03630154561345,35877,2503678,35558,2453282
Alabama,2012,South Dakota,518,4816632,833859,17.7552591495404,35877,2503678,45163,574966
Alabama,2012,Tennessee,10539,4816632,6455752,3.09086542353073,35877,2503678,39285,3635195
Alabama,2012,Texas,7468,4816632,26084120,12.5925259082707,35877,2503678,43407,15095912
Alabama,2012,Utah,579,4816632,2854146,25.6946488672117,35877,2503678,36130,1706060
Alabama,2012,Vermont,0,4816632,626361,18.1109646138954,35877,2503678,45334,421809
Alabama,2012,Virginia,3170,4816632,8187456,9.24245058021394,35877,2503678,49571,4856886
Alabama,2012,Washington,1034,4816632,6898599,36.6310897003859,35877,2503678,47728,3909210
Alabama,2012,West Virginia,128,4816632,1857446,8.53620314180072,35877,2503678,35105,918927
Alabama,2012,Wisconsin,760,4816632,5720825,12.2642896797812,35877,2503678,43027,3499405
Alabama,2012,Wyoming,88,4816632,576656,23.1015547725307,35877,2503678,53491,396704
Alabama,2013,Arizona,1077,4831586,6634690,24.8817408146662,36099,2523338,36604,3371219
Alabama,2013,Arkansas,1108,4831586,2960459,5.99456062204918,36099,2523338,36224,1569249
Alabama,2013,California,4918,4831586,38253768,33.0855664512805,36099,2523338,49312,21319995
Alabama,2013,Colorado,698,4831586,5270774,19.7223165819368,36099,2523338,47295,3356175
Alabama,2013,Connecticut,439,4831586,3595792,16.6389979271702,36099,2523338,63539,2246561
Alabama,2013,Delaware,0,4831586,924062,12.9116523638172,36099,2523338,44315,544797
Alabama,2013,District of Columbia,10,4831586,651559,11.5610073218641,36099,2523338,67821,848226
Alabama,2013,Florida,11518,4831586,19551678,5.9891092977696,36099,2523338,40683,10539255
Alabama,2013,Georgia,17867,4831586,9975592,3.38468634544483,36099,2523338,37541,5496783
Alabama,2013,Idaho,222,4831586,1612053,30.1514969123515,36099,2523338,36189,902866
Alabama,2013,Illinois,3126,4831586,12895778,7.65107542935861,36099,2523338,47122,7503158
Alabama,2013,Indiana,1303,4831586,6570575,7.1391186758849,36099,2523338,39635,3684125
Alabama,2013,Iowa,699,4831586,3093935,11.4329651547189,36099,2523338,43460,2019480
Alabama,2013,Kansas,566,4831586,2894306,12.8793229857087,36099,2523338,45945,1869054
Alabama,2013,Kentucky,2498,4831586,4406906,4.98109752055639,36099,2523338,35902,2407562
Alabama,2013,Louisiana,1429,4831586,4626040,5.44294212410297,36099,2523338,40898,2641657
Alabama,2013,Maine,52,4831586,1328543,21.6371863825477,36099,2523338,40154,803641
Alabama,2013,Maryland,960,4831586,5925197,11.837388505843,36099,2523338,53039,3493921
Alabama,2013,Massachusetts,972,4831586,6715158,17.746086068917,36099,2523338,57362,4353568
