GeoName,Year,In_Mig,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,per_cap_per_inc,per_inc,pop,Tot_emp,Out_Mig,Net_Mig,GeoAbb
Arkansas,2013,69310,0,661,0,4925,1557,870,0,330,1751,2870,251,3117,999,949,1650,1915,4467,0,1281,0,429,289,1422,5273,41,137,348,361,437,209,1034,542,0,1836,8892,786,244,30,339,94,4285,12937,237,0,514,520,150,331,0,36224,107240.7,2960459,1569249,76536,-7226,AR
Arkansas,2014,74392,2145,782,0,5070,1149,431,0,213,2611,2013,0,3251,405,696,1491,398,2844,0,64,49,801,846,2962,9565,232,0,229,0,244,778,1326,335,0,711,8530,254,816,0,543,0,4534,14398,490,0,1250,777,303,822,34,38247,113545.5,2968759,1587414,64958,9434,AR
Arkansas,2015,81344,956,1683,0,5075,2429,0,79,196,2641,2407,214,2999,784,589,2036,497,3601,0,70,521,1922,114,3415,6367,1058,337,292,0,122,645,395,2006,143,777,7505,34,358,0,311,146,6033,17708,445,36,2355,313,143,1312,275,39491,117671.8,2979732,1610805,76406,4938,AR
Arkansas,2016,70739,2057,836,0,4026,3459,186,0,69,1351,2683,0,2594,335,1115,979,1356,3530,178,319,302,928,449,3699,6911,36,1411,1194,0,250,225,590,939,39,192,5773,389,1146,0,70,0,2635,13487,619,0,1333,2257,75,539,178,40360,120748.2,2991815,1629497,71813,-1074,AR
Arkansas,2017,79170,574,1060,0,5334,2547,0,0,0,1525,1805,582,2252,1810,176,2021,1222,2867,0,1425,97,961,808,4171,6759,118,475,439,78,359,414,283,1749,88,39,7854,749,2639,0,487,0,5383,15767,657,0,1087,1539,0,958,12,41622,125025.7,3003855,1640411,69599,9571,AR
Arkansas,2018,72298,438,602,0,3728,3255,159,126,0,3966,929,0,3359,1241,119,1072,831,2311,27,470,139,584,196,2568,9400,76,76,84,156,277,214,139,638,225,857,8490,254,860,0,121,146,5492,15531,712,0,900,1328,72,130,0,43290,130397.5,3012161,1657511,69002,3296,AR
Arkansas,2019,59507,636,692,0,4967,1585,87,0,295,2118,1352,157,1308,438,674,1139,265,4089,39,535,97,820,1142,1867,4368,74,380,962,0,420,0,642,369,39,569,5826,501,533,0,443,0,3237,12851,710,0,671,571,133,797,1109,44582,134682.7,3020985,1673743,64343,-4836,AR
California,2011,451206,2087,35650,2648,0,21245,3073,1302,3240,22094,13303,4796,20834,4673,3324,2810,1201,3600,1658,7793,10244,12069,5687,2092,7677,2599,1955,36159,1222,8053,5904,25629,8708,1392,10474,5113,18165,8550,1103,5758,1004,8761,37087,8944,745,15753,36481,832,5668,2047,46177,1737940,37636311,19986021,549072,-97866,CA
California,2012,474740,2509,38916,3472,0,15150,6764,474,3199,21004,10790,5331,21251,5891,2284,2790,3763,5180,1256,7902,14356,8921,8539,2556,6729,3060,3302,27968,1327,12057,5921,31261,11195,1827,10653,6671,22724,10466,1648,4110,826,5802,43005,12172,544,15625,34569,1413,5681,1886,48819,1852397.5,37944551,20666908,553736,-78996,CA
California,2013,463410,2958,36567,3687,0,16151,5145,300,3823,25950,11773,6192,19961,8799,3563,4680,3895,3764,1104,9781,12947,9172,7376,2450,7146,3147,1262,29897,1198,10498,6290,30704,10858,710,6742,3717,20128,11426,1658,7283,981,7020,32290,12631,1029,12810,37246,967,4704,1030,49312,1886376.6,38253768,21319995,565904,-102494,CA
California,2014,494117,10439,35200,1570,0,17500,5994,1067,4219,25622,8669,7303,21441,6680,3618,6836,3217,4884,761,6996,10750,11601,9449,2336,7638,2862,3143,29985,1119,12884,4744,34201,12550,1112,8267,6511,21028,14858,817,3925,2964,5620,38990,14273,1041,17847,32837,897,6451,1401,52376,2021035.6,38586706,21997098,577703,-83586,CA
California,2015,497980,5273,34204,2867,0,21157,6205,1118,3908,25638,11630,5840,26189,8650,1394,3943,3781,6324,1745,9981,12628,8852,4887,2539,6465,2017,3282,25332,1859,12890,5239,36896,12463,1035,12836,8350,20838,13595,2179,6301,610,8781,41713,8814,766,15009,33131,413,6741,1672,55853,2172930.2,38904296,22687196,629696,-131716,CA
California,2016,496313,3045,33757,4282,0,22540,2932,1372,6319,25354,14663,3598,21539,7073,3826,3293,4206,4933,2513,10637,14062,11442,10897,3174,7580,1272,1876,24656,889,11988,8087,40877,14268,2664,9652,6023,18919,13090,2265,5137,1333,6158,39109,11114,400,14348,27973,1150,7354,2674,58074,2273557.5,39149186,23164907,641050,-144737,CA
California,2017,507749,3715,26907,3471,0,25038,5935,491,6818,24611,10233,5626,27117,5190,4163,5202,3431,5169,2578,11303,16774,11538,7487,3299,6841,2809,2419,23768,1216,12906,5312,34278,13523,2223,11410,4890,20548,16141,1763,7134,1403,5413,40999,9925,895,21162,33143,789,9348,1395,60581,2383130.5,39337785,23538609,648627,-140878,CA
California,2018,486020,4591,33670,2573,0,18755,6366,1143,5063,22464,11753,4224,22165,6313,2461,4826,2010,4441,1294,11042,17529,10335,6221,2393,7981,2481,3619,22433,682,11666,3822,34848,11400,1909,13999,4901,24050,11848,1738,4896,1296,8060,37810,9440,1641,17725,38007,1246,5364,1526,63759,2514503.4,39437463,24086110,677234,-191214,CA
California,2019,463155,3310,28226,3104,0,15085,4067,1630,3075,22692,14496,4372,24085,4923,1956,2941,2606,5347,2335,11775,16158,6406,8951,2354,7638,1974,2587,26433,709,10812,3418,37567,13863,710,9098,3747,17265,12578,2839,5803,1345,5863,37063,8504,784,24506,31882,303,4811,1159,66745,2632279.8,39437610,24602061,640050,-176895,CA
Colorado,2011,197081,2340,12338,1615,23234,0,1567,501,298,8075,3250,1578,6027,2116,3510,3718,1361,908,1358,3303,2157,3225,3055,879,4552,4079,4582,4061,489,2863,8797,3998,4756,2249,5527,3824,5543,3348,435,718,1340,3193,22390,3856,914,6281,5524,412,3995,2942,43568,223153.2,5121900,3204078,158090,38991,CO
Colorado,2012,199067,3108,10589,1043,22152,0,1317,70,488,8615,5834,2660,6374,4336,2776,5283,2500,5048,20,2844,5939,3343,2992,835,3771,2021,4472,3789,679,2464,6520,7250,4378,1918,4533,4582,2419,3950,137,2383,756,2535,17355,6398,503,3796,4853,837,3000,5602,45660,237141.5,5193660,3262925,159758,39309,CO
Colorado,2013,203574,2926,8798,1235,23714,0,861,551,78,9448,6671,2542,7528,2197,2868,6545,2287,2374,881,2920,2194,2718,3754,1168,6317,2636,3457,2498,536,1426,5968,7848,4858,974,4566,5138,2793,3773,522,1312,1651,2295,23490,6240,689,6980,6173,246,2623,4307,47295,249281.6,5270774,3356175,161039,42535,CO
Colorado,2014,213089,1004,12304,1956,24506,0,832,254,1323,9304,5057,1365,9081,3940,4707,4780,1004,2066,194,3091,2565,2858,3673,777,4900,2733,2896,3945,369,2212,7069,9519,4974,1059,4419,6811,2064,4244,0,1590,1570,2297,24431,2926,720,7328,8768,110,4068,5426,50687,271307.5,5352637,3467519,169029,44060,CO
Colorado,2015,221515,2392,10254,1527,29029,0,2253,77,1132,12623,4644,1692,11398,1982,2718,6294,1678,3007,185,2286,2378,3739,5443,881,6798,910,4201,3723,583,3227,6393,5748,3489,1388,3263,3072,4836,4870,43,2410,732,2314,25268,4064,1094,7686,7368,1232,5916,3275,52219,284819.6,5454328,3574243,179512,42003,CO
Colorado,2016,218767,2328,13015,808,26909,0,2882,0,1360,13546,6128,1565,11369,2672,3243,4634,1736,3361,390,3467,2196,4285,3725,1319,6246,1334,3050,4366,1360,2731,5073,8612,6059,1801,3674,3828,3473,4586,63,1945,1735,4035,20725,3642,647,7148,4487,309,3243,3657,52431,290669.6,5543844,3667987,190135,28632,CO
Colorado,2017,221391,3120,6765,1356,27014,0,1800,764,863,12385,4712,2984,10652,2754,3035,6653,2195,2195,448,3420,2785,2661,4369,1085,3774,675,4541,3800,1416,5166,4715,8560,6273,1286,5144,5180,4359,4840,963,2221,1453,2453,25212,3417,471,6099,6675,42,3506,5135,55550,312045.5,5617421,3759409,191225,30166,CO
Colorado,2018,233695,3597,7987,1442,28288,0,1498,190,1119,14017,8239,1268,7783,2945,2385,5071,2754,1216,912,3454,3949,4253,5208,597,6803,3731,6025,3455,183,1780,11444,6362,6336,1118,3169,5956,2890,4701,706,3203,2176,1444,26930,4833,1043,9260,6686,238,3100,1951,58836,335195.8,5697155,3855474,198449,35246,CO
Colorado,2019,236956,3422,10616,1022,29350,0,942,0,259,14124,6985,798,10153,3114,2589,6544,1455,3901,900,3555,6053,3101,5523,554,4801,1984,4861,3888,196,3677,4895,7965,4930,2084,4432,4412,3619,3362,820,1081,1581,5549,32295,2458,161,6796,7333,502,4454,3860,61159,352184.7,5758486,3949744,195541,41415,CO
Connecticut,2011,70735,101,1387,84,3699,1502,0,62,607,4771,2000,133,1843,168,67,16,0,315,259,1267,8691,692,76,69,365,206,62,160,1221,3809,265,20015,1029,0,1383,217,117,3668,1488,997,0,123,1214,398,608,2555,2255,46,660,65,63793,228929.4,3588632,2206269,90426,-19691,CT
Connecticut,2012,79464,46,3167,200,3161,367,0,22,288,6578,1702,97,912,53,0,0,124,909,1224,1752,8743,753,605,276,358,50,45,172,1009,5665,444,23310,3379,0,287,415,35,2214,1558,940,0,260,3279,45,709,1729,1593,174,711,104,64902,233337.8,3595211,2223221,86832,-7368,CT
Connecticut,2013,86265,337,1791,0,4206,1066,0,1332,367,5768,2303,0,2040,305,0,210,70,24,366,1228,7645,1193,775,57,339,60,0,122,2547,5504,197,23051,1806,0,1156,65,271,6571,3607,1609,0,1139,1997,433,621,2665,672,183,435,132,63539,228472.2,3595792,2246561,91048,-4783,CT
Connecticut,2014,79790,275,269,0,3683,464,0,282,212,6450,2232,0,2059,177,104,0,636,150,1898,1825,8381,28,858,66,844,0,0,541,1296,5473,0,21431,1368,0,1064,260,555,3872,4771,457,93,1325,1696,241,825,2847,699,0,83,0,66469,239001.1,3595697,2266029,94827,-15037,CT
Connecticut,2015,76500,163,187,0,4240,467,0,344,379,6122,1268,51,1696,777,362,135,30,139,939,917,9498,467,548,84,638,0,0,127,1202,3688,725,23820,1394,95,1836,265,290,2348,3035,926,362,237,2519,95,262,2301,1236,63,223,0,68340,245244,3588561,2288113,102453,-25953,CT
Connecticut,2016,74806,1102,309,960,3979,562,0,0,433,4629,1129,0,1733,488,162,329,43,330,941,1716,8519,614,780,0,248,0,0,34,750,4496,0,22160,1651,64,1124,45,62,3427,3255,1054,0,394,2679,0,1131,2320,631,286,237,0,69886,250178.6,3579830,2300038,112645,-37839,CT
Connecticut,2017,82312,206,644,160,2807,370,0,463,414,6589,1531,0,697,534,0,0,227,716,627,992,12004,376,160,0,1601,0,154,142,472,3930,825,28542,1910,187,1171,400,579,3263,2061,1019,0,166,3698,149,393,1314,374,0,188,257,71699,256348.8,3575324,2300325,98733,-16421,CT
Connecticut,2018,84238,1054,1204,51,3870,1105,0,1015,506,4563,2606,0,1513,237,86,79,233,597,1342,1182,7630,819,106,0,69,35,0,149,939,4573,0,27361,1145,0,1410,172,642,3446,2136,1811,0,743,4044,1305,595,2294,1062,181,328,0,74791,267346.2,3574561,2316626,114121,-29883,CT
Connecticut,2019,88912,248,441,0,4049,1165,0,45,313,7501,1266,0,1389,309,165,94,135,764,743,1720,13020,1091,676,0,212,0,189,174,741,5297,0,27606,2640,0,1369,199,523,3711,3788,910,539,921,2141,120,103,1764,191,408,232,0,77273,275556.8,3566022,2331726,104676,-15764,CT
Delaware,2011,33382,81,541,0,699,169,66,0,154,810,639,441,34,210,0,7,305,0,0,4238,806,43,201,0,713,0,12,0,0,6297,0,3141,388,0,664,27,0,8571,131,153,0,221,883,475,0,1064,482,198,55,463,43881,39825.6,907590,530400,25836,7546,DE
Delaware,2012,34065,119,188,0,2221,0,1489,0,11,715,179,32,567,62,30,113,0,178,0,5649,157,227,351,58,80,0,91,572,99,5846,85,3566,1349,0,191,0,0,6828,135,298,0,344,133,166,0,1746,29,161,0,0,44061,40338.4,915518,534261,24871,9194,DE
Delaware,2013,36518,0,0,0,810,74,602,0,292,1034,926,0,156,0,0,0,180,213,53,7932,94,171,204,404,477,0,131,0,0,4520,258,3527,1374,0,453,91,0,10778,0,532,0,163,240,0,0,776,0,53,0,0,44315,40949.5,924062,544797,24704,11814,DE
Delaware,2014,31704,46,269,0,160,95,954,0,358,752,1455,0,88,0,0,0,105,0,14,6777,1050,159,484,0,477,0,54,29,483,4366,58,3673,1036,0,148,224,7,5670,32,418,0,277,737,0,0,806,124,176,143,0,45962,42888.3,933131,556517,27123,4581,DE
Delaware,2015,44151,76,282,0,725,192,508,0,279,883,327,0,632,207,124,154,75,0,376,6749,1161,162,81,26,82,0,0,0,47,4345,846,4759,1504,423,92,54,90,13965,0,659,0,82,1423,32,78,2112,420,119,0,0,47976,45196.4,942065,568952,30881,13270,DE
Delaware,2016,33252,148,22,0,598,106,1263,0,113,708,293,30,953,26,0,0,36,0,116,6985,509,11,0,105,230,94,0,27,0,5656,0,2218,338,0,272,0,0,10139,0,212,23,34,515,0,112,1021,181,158,0,0,48781,46341.8,949989,578698,28609,4643,DE
Delaware,2017,38422,506,76,0,580,144,174,0,316,1335,179,0,857,41,0,0,21,73,0,9748,396,441,45,0,153,0,0,0,0,4006,44,3564,327,0,80,295,104,11035,0,144,0,318,1152,32,59,1510,0,371,296,0,50738,48604.3,957942,584834,35639,2783,DE
Delaware,2018,34451,39,115,0,551,0,487,0,136,1122,118,0,191,50,205,747,94,468,101,5639,481,153,0,148,0,0,86,0,157,6112,30,2907,586,167,446,0,0,9991,187,470,0,103,378,99,305,1458,0,124,0,0,52848,51103.1,966985,597228,33343,1108,DE
Delaware,2019,37720,0,0,0,161,530,415,0,442,939,344,0,562,0,0,189,0,41,0,8646,548,0,0,26,37,29,262,149,78,6955,177,3044,1167,0,34,1025,0,8902,258,8,0,409,744,75,0,1260,45,219,0,0,54323,53055.3,976668,606694,28143,9577,DE
District of Columbia,2011,47559,13,43,81,3797,452,981,128,0,1254,937,68,1397,128,241,6,297,0,0,14129,2048,1108,409,83,112,38,79,238,145,1035,0,2313,1716,285,306,0,51,1589,50,357,104,421,1083,75,445,7975,476,120,946,0,67366,41786.3,620290,826761,49370,-1811,DC
District of Columbia,2012,52545,79,902,35,4999,677,618,78,0,1705,1079,46,795,469,133,164,112,283,194,14120,1524,944,393,44,337,0,172,42,197,1451,116,3085,985,0,651,0,157,1494,635,150,0,577,1473,116,267,9537,481,293,721,215,68310,43426.9,635737,834413,58927,-6382,DC
District of Columbia,2013,45653,316,79,0,2427,337,1597,336,0,1307,1497,0,753,215,27,0,46,858,0,9237,1557,622,0,0,278,44,22,0,108,2173,411,4770,1253,0,315,155,194,2177,1150,506,203,560,1625,126,0,7814,159,391,5,3,67821,44189.2,651559,848226,56854,-11201,DC
District of Columbia,2014,55859,251,186,106,5206,476,1336,290,0,1745,445,229,1768,525,96,133,375,689,167,13606,1575,334,414,71,195,84,111,593,154,2075,76,3562,1670,44,286,78,130,2311,125,389,0,429,1311,445,0,9920,1089,213,291,255,71217,47259.7,663603,860669,58238,-2379,DC
District of Columbia,2015,59618,359,367,203,4119,433,1292,252,0,2731,1013,5,785,748,135,33,275,392,258,14726,2876,1308,545,338,141,0,674,68,47,1804,40,5133,1501,0,1027,150,157,1999,234,1806,9,873,1314,177,117,8028,134,478,514,0,75277,50963.6,677014,873232,64577,-4959,DC
District of Columbia,2016,57974,140,744,0,3908,531,1225,278,0,2717,1105,0,2418,957,218,0,233,197,118,12778,1974,922,542,224,566,17,190,356,168,1494,1,4762,1367,83,659,122,125,2468,268,382,0,452,2213,249,0,9847,418,296,242,0,77629,53375.8,687576,891545,59514,-1540,DC
District of Columbia,2017,56202,494,549,105,3763,1109,1149,375,0,1182,1507,161,2726,710,17,0,285,461,122,10835,2669,808,436,157,466,0,0,128,88,2590,206,5238,1867,5,1026,0,37,1824,296,235,0,1057,2858,384,447,7509,206,0,115,0,78974,55051.1,697079,902759,64786,-8584,DC
District of Columbia,2018,47431,174,204,0,3803,336,262,182,0,1789,647,0,1066,146,162,0,110,0,61,12735,1664,486,143,146,201,92,0,36,130,2382,0,4642,1026,0,1592,0,80,1617,87,408,0,690,1036,215,213,7773,387,294,346,68,80943,56995.8,704147,914060,59521,-12090,DC
District of Columbia,2019,58541,462,291,0,3437,870,1298,0,0,1496,1190,28,1361,427,59,41,131,452,448,15499,2383,758,278,265,976,4,49,0,49,2758,466,4314,1481,0,755,185,172,1718,138,568,250,991,2073,0,54,8828,852,324,362,0,83111,58864,708253,923009,51826,6715,DC
Florida,2011,487553,12635,8451,3025,22420,9383,11704,1264,891,0,38658,312,19152,11472,1846,2661,5441,6094,4689,15410,13701,19640,4663,5175,7114,559,3857,3527,4324,25206,1376,59288,23983,514,18191,2600,3315,20821,5002,11953,716,10451,25532,2343,2019,16614,6339,4964,7412,846,40126,764633.7,19055607,10036634,432854,54699,FL
Florida,2012,523267,18599,6473,3321,20386,8766,8975,1099,780,0,42754,1268,22565,13803,3864,5661,6912,5550,7348,10442,15159,23400,5460,5490,10666,1758,945,1241,2362,27606,2853,53009,23133,239,22927,3142,2919,25659,3050,11366,1070,16275,28564,2499,2747,25697,4943,3533,6216,773,41106,793428.8,19302016,10249024,423554,99713,FL
Florida,2013,517521,10281,7553,1577,26690,7608,8709,1969,1762,0,35386,1541,19973,14148,4597,4171,7592,6856,2995,12022,19621,19860,5576,6919,10754,576,2228,3508,4987,30914,2164,55419,29097,50,22597,4386,1816,28771,3201,11074,533,13232,24226,2129,1434,18132,6975,4250,7321,341,40683,795425,19551678,10539255,420601,96920,FL
Florida,2014,536438,15731,7902,1911,23239,9260,12944,1401,1897,0,42020,915,25095,10599,3728,2879,6237,5179,4293,15850,15606,23791,5399,5623,8481,161,1785,4024,4248,24425,1336,58753,25333,730,27438,5296,2797,28841,3816,11346,693,13711,25175,2926,2319,25342,4510,3313,7735,405,43123,856161.8,19853880,10937166,431600,104838,FL
Florida,2015,580407,15449,7168,6850,21217,9206,14887,1685,1512,0,38654,846,26406,13396,3142,3648,10036,6560,5178,16449,16651,26138,5433,5415,10480,1150,1706,6008,5175,29390,3762,69289,24003,1363,27403,2710,1568,28826,2523,13949,1400,19864,29706,1932,1480,23377,3819,3479,9195,924,45251,914928.4,20219111,11367160,441834,138573,FL
Florida,2016,601840,11353,10312,4136,28420,9880,15285,3143,1752,0,39578,885,23319,14370,6630,2392,8588,5375,2859,17648,19882,19530,6778,6621,11656,677,1870,4273,5292,33966,3091,60472,28726,1127,29655,3124,1258,30258,4894,15904,535,18647,31153,3531,1627,29485,6152,3979,11298,454,46042,949718,20627237,11673482,430239,171601,FL
Florida,2017,562984,9389,5577,3028,30919,12061,11249,3831,605,0,38800,1359,28631,11833,3466,3376,9762,6403,2960,18907,18212,19169,7614,4236,8820,755,987,4681,5887,27892,2811,63722,23270,702,22946,6123,3231,28507,3259,10521,763,12023,31625,6063,2816,28232,6176,2187,7202,396,48473,1016819,20977089,12085322,444220,118764,FL
Florida,2018,582865,12870,4542,3239,26888,15746,18291,4124,983,0,35350,1594,27622,11784,3538,2970,11330,4389,2783,15173,20314,20852,6820,2984,9774,1007,3893,3772,5137,30105,2558,63033,26708,1485,22452,3190,3639,31712,4219,15250,3062,13285,24197,3558,1723,31798,9045,5760,7573,744,50939,1082702.2,21254926,12547585,466720,116145,FL
